A,nu,a,at,dt,dtt,taut,n_steps,arm,seed,A_hat,xc_hat,nu_hat,fit_rms,at_bound,l2_vs_exact,runtime_s
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,cond_mean,10,0.9999169732143512,1.9536583829158491,0.49546428787537583,0.0026928602417097074,0,0.05547375902955143,0.24367051786144397
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,cond_mean,10,0.9998970214366677,2.0061069651277226,0.4806565520458156,0.0016213854603202135,0,0.027528273336116467,0.24367051786144397
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,cond_mean,10,1.0003079777802226,2.0338821078904536,0.49863742592229077,0.0020318240063433254,0,0.040486114456057966,0.24367051786144397
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,cond_mean,11,1.0000588593266087,1.999668340695643,0.4988301419887985,0.001990344937922968,0,0.009915097960368388,0.24416127385172462
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,cond_mean,11,0.999907819801425,1.9853621582501069,0.4919804027764998,0.002387319668930679,0,0.023047389611799682,0.24416127385172462
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,cond_mean,11,0.9997138758418835,1.966126977555571,0.48835758718855904,0.0016021685919954765,0,0.04268911565866258,0.24416127385172462
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,cond_mean,11,1.0001328746054776,1.9731049465092603,0.49661639589941653,0.0014577242453423652,0,0.03227735866364746,0.24416127385172462
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,cond_mean,11,1.000060384083178,1.962623750567113,0.49515647350644326,0.0016796141445911891,0,0.04450833707218067,0.24416127385172462
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,cond_mean,11,1.000378998167694,1.9795341376679219,0.4960338096112311,0.0020226558592734713,0,0.02643444092578977,0.24416127385172462
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,cond_mean,11,1.0000087392656876,2.006524009813069,0.5018147482072587,0.0014215210014930778,0,0.010523955731491326,0.24416127385172462
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,two_speed,0,0.9998699065674171,1.9861176202616673,0.5010804524227038,0.001714057134594464,0,0.01818598069748203,0.2643283750096868
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,two_speed,0,1.0000498923452692,2.0029381350743227,0.5134804379286015,0.002147742675983536,0,0.020624211956596725,0.2643283750096868
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,two_speed,0,1.000364473276451,2.008354499263335,0.5144032270971888,0.0029150516457672657,0,0.024942356158716966,0.2643283750096868
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,two_speed,0,0.9996257748439342,2.0168447644147034,0.5045530574750244,0.002579800978201858,0,0.024169756830389282,0.2643283750096868
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,two_speed,0,0.9998402081016656,2.0349456981657683,0.5070911813570247,0.002094036964891663,0,0.04260510430665432,0.2643283750096868
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,two_speed,0,0.9999279961416134,2.051716629387371,0.5223965467991127,0.0017210771432622596,0,0.06648387321925081,0.2643283750096868
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,two_speed,0,0.9999208210664767,2.0621994847613148,0.5265032109502641,0.0022729286313725307,0,0.07965773983030201,0.2643283750096868
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,two_speed,1,0.9999716088863333,1.9990491141431428,0.500646362704989,0.0017878665341160083,0,0.00888504987758698,0.26519226785083966
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,two_speed,1,1.000127918605415,1.9917928814811698,0.5054389151414194,0.0012587458577079152,0,0.013230543519329292,0.26519226785083966
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,two_speed,1,1.0000466441763771,1.9937675309447416,0.5067890737549987,0.002607113798547718,0,0.017055577077900855,0.26519226785083966
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,two_speed,1,1.0002940569278016,1.9724006116513169,0.514697300065328,0.0020105521834034735,0,0.03800607587521359,0.26519226785083966
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,two_speed,1,1.0006470173627644,1.9652473223545395,0.5227416182968805,0.003332471669733839,0,0.051441904342891503,0.26519226785083966
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,two_speed,1,1.0000122165871659,1.9388767753191845,0.5190075796596075,0.0020395341310159576,0,0.07488334861049181,0.26519226785083966
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,two_speed,1,1.000290012226781,1.8918076529709633,0.5275605559666442,0.003406952661810904,0,0.1294825328398117,0.26519226785083966
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,two_speed,2,1.0003967189360596,1.9900807942125478,0.5098348498541752,0.0019768470500266854,0,0.01926964641416756,0.26264235127850305
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,two_speed,2,1.0006522331842749,1.9860861817868605,0.5168722823827023,0.003195595968238158,0,0.03058577071477652,0.26264235127850305
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,two_speed,2,1.0003542433552435,2.001047690663262,0.5189832622833648,0.0035901021983497073,0,0.02983726081125191,0.26264235127850305
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,two_speed,2,1.0001587070244184,1.991990853725291,0.5124049536217563,0.0027828859497930117,0,0.022845711543126493,0.26264235127850305
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,two_speed,2,1.0000764578467207,2.009092992594175,0.5199008133321922,0.001544320358575608,0,0.02877481817070016,0.26264235127850305
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,two_speed,2,0.9998630295226668,2.0059884698206107,0.5185310401502082,0.0016845484335358798,0,0.026607564298615275,0.26264235127850305
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,two_speed,2,1.0003557136854577,1.9981778019710545,0.5263711961063157,0.002341302275825109,0,0.03542408695029263,0.26264235127850305
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,two_speed,3,0.9999772845982338,2.0024650015143903,0.5057770330854158,0.0032937774085998873,0,0.018092315308570032,0.2600519881483966
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,two_speed,3,1.0003203612100802,2.006685567865604,0.5105190580669211,0.0021859177030264096,0,0.01865399431970463,0.2600519881483966
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,two_speed,3,1.0005290896392849,2.000905913166722,0.5175886935259092,0.002863775394774187,0,0.026116156514447812,0.2600519881483966
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,two_speed,3,1.00002549131063,2.0013611702939236,0.5168335803496429,0.0019688626019365315,0,0.02396368055832199,0.2600519881483966
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,two_speed,3,1.000590947847727,1.9933124938969538,0.5382858853594464,0.002356877091125237,0,0.05022910418095335,0.2600519881483966
